Date,Open,High,Low,Close,Share,Money,Numb
2000/3/28,9884.18 ,9985.15 ,9772.54 ,9856.60 ,4528859188,2.9262E+11,1169924
2000/3/29,9852.48 ,9914.14 ,9794.48 ,9805.69 ,3608042888,2.34712E+11,968153
2000/3/30,9827.85 ,10071.26 ,9827.85 ,9931.94 ,4119155182,2.72649E+11,1078522
2000/3/31,9890.89 ,10011.96 ,9798.61 ,9854.95 ,3271151273,2.0668E+11,894904
2000/4/1,9892.78 ,10050.43 ,9816.22 ,10050.43 ,2984230987,2.21838E+11,871088
2000/4/5,9923.74 ,10238.11 ,9923.74 ,10186.17 ,3907619000,2.80866E+11,1036151
2000/4/6,10225.77 ,10328.98 ,9969.28 ,9969.28 ,4154814890,2.63329E+11,1101376
2000/4/7,10035.26 ,10128.26 ,9913.38 ,9921.03 ,3337660847,2.11286E+11,885013
2000/4/8,10009.75 ,10061.03 ,9894.26 ,9934.57 ,3223060402,2.20137E+11,890777
2000/4/10,9962.65 ,10168.72 ,9956.65 ,10127.48 ,3746193000,2.51625E+11,977871
2000/4/11,10104.87 ,10194.91 ,10059.41 ,10068.05 ,4238329788,2.57033E+11,1134416
2000/4/12,10067.27 ,10149.32 ,9909.03 ,9911.39 ,4168660397,2.34047E+11,1071027
2000/4/13,9720.67 ,9746.99 ,9564.72 ,9662.60 ,3518612736,2.11598E+11,957141
2000/4/14,9517.45 ,9662.12 ,9374.49 ,9374.61 ,3150849377,1.87443E+11,879373
2000/4/15,9086.36 ,9086.36 ,8780.08 ,8866.80 ,2860726721,1.56316E+11,824424
2000/4/17,8848.16 ,9013.14 ,8796.77 ,8993.68 ,2764754000,1.66252E+11,737956
2000/4/18,9220.96 ,9389.35 ,9220.96 ,9307.03 ,3176607723,1.94721E+11,836490
2000/4/19,9435.02 ,9477.67 ,9104.40 ,9104.40 ,2793665351,1.8533E+11,799650
2000/4/20,9084.86 ,9175.75 ,8943.89 ,9109.05 ,2338365057,1.3461E+11,646830
2000/4/21,9130.32 ,9243.04 ,9105.31 ,9120.48 ,2077021284,1.2204E+11,583144
2000/4/24,9128.95 ,9128.95 ,8808.09 ,8808.09 ,1959732640,1.03273E+11,551399
2000/4/25,8711.68 ,8923.27 ,8672.41 ,8921.12 ,2081730502,1.25785E+11,607529
2000/4/26,8992.62 ,9022.77 ,8465.76 ,8535.96 ,2349012298,1.43228E+11,687689
2000/4/27,8587.03 ,8633.39 ,8458.40 ,8541.95 ,1918836254,1.13496E+11,569311
2000/4/28,8595.01 ,8860.50 ,8478.48 ,8824.36 ,2535476918,1.69874E+11,730157
2000/4/29,8835.17 ,8906.67 ,8725.38 ,8777.35 ,2135727964,1.39109E+11,631794
2000/5/2,8836.83 ,8838.78 ,8636.27 ,8638.75 ,1626159000,96830387000,468097
2000/5/3,8537.35 ,8587.00 ,8395.23 ,8420.00 ,1665220614,88861775125,478104
2000/5/4,8444.07 ,8655.20 ,8338.92 ,8425.38 ,2253362362,1.21049E+11,611702
2000/5/5,8389.90 ,8699.02 ,8343.37 ,8698.53 ,2179648525,1.12477E+11,582641
